epoch,lp_loss,lp_test_acc
1,1.3954328389800326,0.8175
2,0.7810050544081902,0.822
3,0.6342478716860012,0.8271
4,0.5697844102978706,0.8303
5,0.5354152323336018,0.8323
6,0.513476525186276,0.834
7,0.49838059638835946,0.8344
8,0.48743231488125666,0.8346
9,0.47917126499268475,0.835
10,0.4735110482695151,0.8361
11,0.46770736027737053,0.8367
12,0.46367924979754854,0.8366
13,0.4598504435651156,0.8376
14,0.45680687013937504,0.8377
15,0.4544558123666413,0.8376
16,0.451994890765268,0.8377
17,0.44959768820173884,0.8372
18,0.4475176761649093,0.838
19,0.446011878398,0.8376
20,0.4447186396134143,0.8372
21,0.4435366650625151,0.837
22,0.4421861574661975,0.8375
23,0.44113119995715666,0.8376
24,0.4399163873524082,0.8371
25,0.4388450187992077,0.8363
26,0.4380591370317401,0.8371
27,0.43776792135773873,0.8373
28,0.4365421091111339,0.8377
29,0.43609570118845725,0.8371
30,0.43546586970285495,0.8368
31,0.43454871737227146,0.8366
32,0.4340154279251488,0.8382
33,0.43360822708631047,0.8377
34,0.43286492781979696,0.8378
35,0.43211924223875514,0.8379
36,0.43165392413431286,0.8378
37,0.43142284954688986,0.8372
38,0.4309821186625228,0.8373
39,0.43017522519340323,0.837
40,0.4300283062822965,0.8368
41,0.4295819091553591,0.8374
42,0.42939588716443705,0.8374
43,0.4290906280583265,0.8376
44,0.4286062413332414,0.8372
45,0.42795124133022466,0.8368
46,0.4277253943134327,0.8375
47,0.42744563139823016,0.8379
48,0.42688055351680637,0.838
49,0.42712310199834863,0.8369
50,0.42660562465993723,0.8371
51,0.4259648954077643,0.8374
52,0.42580193752536966,0.8374
53,0.4254097800169672,0.8373
54,0.42539112482752117,0.8375
55,0.42508868873119354,0.8368
56,0.42407527307466586,0.8374
57,0.42445092040057086,0.8378
58,0.4241880008152553,0.8385
59,0.42392671442761715,0.8382
60,0.4238944868652188,0.8381
61,0.4234410971403122,0.8375
62,0.42394027007477625,0.8379
63,0.42353327222624604,0.8384
64,0.42336421581555383,0.8385
65,0.42314667604407485,0.838
66,0.42247185673640697,0.8365
67,0.4221789855129865,0.8387
68,0.42241296856379024,0.8383
69,0.4220655186443913,0.8382
70,0.4218711520032007,0.8385
71,0.4218298417268967,0.8385
72,0.42187027846063885,0.8382
73,0.4215903162043922,0.8388
74,0.42188094206610505,0.8391
75,0.42140005331258384,0.8388
76,0.42102135368147675,0.8385
77,0.42059177145057797,0.8385
78,0.4206059511218752,0.8386
79,0.4207005097853894,0.8384
80,0.4201668730499793,0.8389
81,0.42038625874081437,0.8389
82,0.41998897523296125,0.8388
83,0.4201516160855488,0.8379
84,0.41944604595096746,0.8391
85,0.4199881375748284,0.8379
86,0.4199259860479102,0.8384
87,0.4198529178998908,0.8391
88,0.41922210004864907,0.8381
89,0.41930809024037147,0.8382
90,0.41900175080007435,0.8384
91,0.4197245506303651,0.8381
92,0.41930282937020674,0.8382
93,0.41937182387527155,0.8389
94,0.4189225864045474,0.8389
95,0.41859398614995336,0.8383
96,0.4187133246842696,0.8384
97,0.4182303569146565,0.8382
98,0.4182487113439307,0.8388
99,0.4185932464137369,0.8383
100,0.4179687709832678,0.8396
