epoch,lp_loss,lp_test_acc
1,4.533193916690593,0.037
2,4.349954938401981,0.0632
3,4.244947978428432,0.0776
4,4.171580613875876,0.0893
5,4.11494654417038,0.0987
6,4.069782988149292,0.0942
7,4.032061779985622,0.1112
8,3.9915206310700397,0.1105
9,3.9655506221615537,0.1142
10,3.9378903337887357,0.1156
11,3.9117458560028853,0.1217
12,3.8897965209824696,0.1152
13,3.8710547515324185,0.1296
14,3.8549390739324143,0.1303
15,3.8347193988002077,0.1324
16,3.818841558329913,0.1324
17,3.7982790178182175,0.1338
18,3.7889145393760835,0.1408
19,3.7767731632505144,0.1327
20,3.7589223761947785,0.147
21,3.7469152199978732,0.1418
22,3.7351675787750556,0.1462
23,3.72182902268001,0.148
24,3.709135055541992,0.1422
25,3.6955369054054725,0.1558
26,3.6869474856220945,0.1467
27,3.6784954569777666,0.1487
28,3.668873807605432,0.163
29,3.65979659070774,0.1535
30,3.6506624173144906,0.1467
31,3.6402883189065114,0.1505
32,3.6316203584476394,0.1563
33,3.6263979223309732,0.1551
34,3.615239120259577,0.1634
35,3.607445300841818,0.1562
36,3.603915511345377,0.1605
37,3.5897740904165776,0.1614
38,3.584573515823909,0.1608
39,3.5811281885419572,0.1632
40,3.569865658575175,0.1691
41,3.5665013157591527,0.1651
42,3.5589370824852766,0.1655
43,3.5547558932888266,0.1734
44,3.547174580243169,0.1607
45,3.53992815406955,0.1715
46,3.5334660873121146,0.1599
47,3.5293029802186147,0.1662
48,3.525148864911527,0.1703
49,3.514683654113692,0.1748
50,3.512093020945179,0.1756
51,3.50261921177105,0.1758
52,3.498408541387441,0.1724
53,3.4961482991977615,0.1698
54,3.489253327554586,0.1773
55,3.4853627341134206,0.1768
56,3.4771905626569475,0.1783
57,3.4767810069784826,0.1782
58,3.469237528285202,0.1761
59,3.462323463692957,0.1755
60,3.463040783697245,0.1786
61,3.456972247483779,0.1779
62,3.452834658476771,0.179
63,3.444336400956524,0.1793
64,3.4457500224210778,0.1846
65,3.4392131810285607,0.1769
66,3.434690719964553,0.1804
67,3.4310626655208822,0.1762
68,3.4267977403134715,0.184
69,3.421444969517844,0.1817
70,3.421680288655417,0.1823
71,3.4112407698923226,0.188
72,3.4060986455605953,0.1806
73,3.4070693741039353,0.1807
74,3.4000492862292697,0.1788
75,3.4011580810254936,0.18
76,3.39133267864889,0.1822
77,3.394673594406673,0.1798
78,3.3922956135808207,0.1814
79,3.3863278980157814,0.1903
80,3.38043028846079,0.1801
81,3.3769718858660482,0.1864
82,3.371192916315429,0.1785
83,3.370482542076889,0.1848
84,3.3689338066139998,0.1813
85,3.3651279673284415,0.1863
86,3.36300105707986,0.1832
87,3.3599496495967007,0.1844
88,3.355987557343074,0.184
89,3.352349084250781,0.186
90,3.3499813797522564,0.188
91,3.344366340004668,0.1822
92,3.348357323481112,0.1862
93,3.341263774706393,0.1888
94,3.3395499185639985,0.1851
95,3.336939041711846,0.1828
96,3.332409442687521,0.1883
97,3.328135994015908,0.1861
98,3.3279190112133414,0.1905
99,3.324978999945582,0.1891
100,3.3199549925570584,0.1916
