epoch,lp_loss,lp_test_acc
1,3.428967966108906,0.2411
2,2.898765959301773,0.2912
3,2.7167246475511666,0.3283
4,2.5980460145035567,0.3497
5,2.5047754584526527,0.3618
6,2.439058375601866,0.3765
7,2.379609468031903,0.3903
8,2.329487665575378,0.3925
9,2.2885677486049887,0.4016
10,2.253683498927525,0.4027
11,2.218939404098355,0.4129
12,2.190122296615523,0.4155
13,2.164839512231399,0.422
14,2.139683952745126,0.427
15,2.11982084537039,0.4281
16,2.09925270627956,0.4299
17,2.076269096865946,0.4327
18,2.0614944331499996,0.4332
19,2.0439896255123373,0.435
20,2.0246726006877664,0.4435
21,2.0126856455997544,0.4409
22,1.9992419225828988,0.4447
23,1.9811524955593809,0.4488
24,1.971552663919877,0.4425
25,1.9551489188963054,0.4512
26,1.9448059657398535,0.4437
27,1.934474987034895,0.45
28,1.9256780354344114,0.4566
29,1.9109141747562253,0.4578
30,1.9051696074252227,0.4578
31,1.8937272666668405,0.4557
32,1.883527550770312,0.4592
33,1.8752387506621224,0.4643
34,1.8641998609718011,0.4573
35,1.8579869896781689,0.4592
36,1.852254503235525,0.4649
37,1.8382923852424233,0.468
38,1.8312283541475023,0.4709
39,1.8238633481823667,0.4697
40,1.8166566922956584,0.4727
41,1.8099715077147192,0.4703
42,1.802693407146298,0.4744
43,1.79952095175276,0.469
44,1.7909012430784654,0.4716
45,1.786404304358424,0.4772
46,1.7772484166281564,0.4719
47,1.7724392736444667,0.4758
48,1.7678041598018335,0.4774
49,1.7604288817668448,0.4735
50,1.7525735071727209,0.4733
51,1.7487432780314465,0.4756
52,1.740769766423167,0.4783
53,1.7387922424442914,0.4783
54,1.73315891623497,0.4805
55,1.7282021112587986,0.4801
56,1.7213597984946505,0.4815
57,1.7167755699887568,0.4823
58,1.7123112027742424,0.4815
59,1.7083781130459843,0.4835
60,1.7023268001420158,0.485
61,1.6965105418039828,0.4847
62,1.6957891674674288,0.4817
63,1.6863820218310064,0.4805
64,1.6859095942000955,0.4798
65,1.6831007204493698,0.4861
66,1.6779329040829016,0.4827
67,1.6708325634197312,0.4836
68,1.6692023885493377,0.4869
69,1.6644958835475299,0.4877
70,1.6615377098930126,0.4804
71,1.6556763794957374,0.4896
72,1.6506502032279968,0.4829
73,1.6503324618144912,0.4838
74,1.6464534851969506,0.4895
75,1.6447213511077725,0.4858
76,1.6387908592516063,0.4879
77,1.6347110642462361,0.479
78,1.6307011994780327,0.4844
79,1.6301558625941375,0.4924
80,1.6227837752322762,0.4914
81,1.620106011020894,0.4887
82,1.6179590103577595,0.4821
83,1.6164468161913814,0.4895
84,1.6127903400635233,0.4908
85,1.6104405935929746,0.491
86,1.6075700162624826,0.4908
87,1.6046215095082108,0.4908
88,1.6007422883899844,0.4897
89,1.5970524397431587,0.4894
90,1.593886357789137,0.488
91,1.5903711823784574,0.4889
92,1.5898889960074911,0.4907
93,1.5853257684075102,0.4923
94,1.5833179233025532,0.4948
95,1.5806357556459856,0.4858
96,1.5774500607227793,0.4902
97,1.5746199519050366,0.489
98,1.5728584497558826,0.4901
99,1.5698482485450045,0.4932
100,1.5671452168299227,0.492
