epoch,lp_loss,lp_test_acc
1,0.8502092668596579,0.7969
2,0.549623786794896,0.8134
3,0.5084165006267781,0.8184
4,0.4875236477474777,0.8242
5,0.47535077543282994,0.8266
6,0.4659046421245653,0.825
7,0.45742324952568325,0.8294
8,0.45174624542800745,0.8327
9,0.4462821713211585,0.8277
10,0.44391049231801716,0.8335
11,0.4379630350336737,0.834
12,0.4339064131585919,0.8279
13,0.4323951171673074,0.8358
14,0.42854305067840887,0.8365
15,0.42481530168834997,0.8379
16,0.42316190807186826,0.8353
17,0.4204201132667308,0.8389
18,0.418713596098277,0.8347
19,0.4159713427023012,0.8364
20,0.415138311075921,0.8375
21,0.4119614645534632,0.839
22,0.4102821468698735,0.8345
23,0.4096342535043249,0.8366
24,0.4077467016723691,0.8382
25,0.4058932573819647,0.839
26,0.40418644561147204,0.8387
27,0.40403562502897516,0.8393
28,0.4029343476404949,0.8396
29,0.40155031379996514,0.8364
30,0.4000166750379971,0.8402
31,0.3988803955061095,0.8393
32,0.3971717734726108,0.8399
33,0.39784024245276745,0.839
34,0.3953244134175534,0.8415
35,0.39485085664355024,0.8401
36,0.39565753480609583,0.8399
37,0.3934559218433438,0.8404
38,0.39240498415061403,0.8426
39,0.3926705229951411,0.8396
40,0.39126076184365216,0.8437
41,0.39191978044655856,0.8443
42,0.390628276278778,0.839
43,0.3895960976274646,0.8404
44,0.3891469150477526,0.8395
45,0.38887907800321675,0.8422
46,0.38821510149508104,0.8356
47,0.3872560321980593,0.8383
48,0.38684467591193256,0.8388
49,0.3856352748615401,0.8432
50,0.385204908799152,0.8386
51,0.38496183756054664,0.8405
52,0.38621885831258734,0.8401
53,0.38371340489509154,0.8401
54,0.38379647096200864,0.8424
55,0.3825437105735954,0.8381
56,0.38264613796253594,0.8393
57,0.3831949658235725,0.8423
58,0.3824258229258109,0.8406
59,0.38268480510735997,0.8424
60,0.38146112623567485,0.8414
61,0.37967838194905495,0.839
62,0.3804544012765495,0.8413
63,0.38113038485147516,0.8409
64,0.3809780706556476,0.8426
65,0.37994484527378664,0.841
66,0.37861878668167154,0.8394
67,0.3795152158305353,0.842
68,0.3780289793349042,0.8388
69,0.3780243568578545,0.8381
70,0.37775877726321316,0.8401
71,0.3776001840525744,0.8411
72,0.3783233051701468,0.8397
73,0.37668429725632374,0.8402
74,0.3756141042222782,0.8429
75,0.3766547240773026,0.841
76,0.3761262472490875,0.8397
77,0.37690140094075886,0.8391
78,0.37445895989634553,0.8414
79,0.37528034177969916,0.8411
80,0.374664307324862,0.8402
81,0.3748106997536153,0.8428
82,0.37551330896664636,0.8412
83,0.37471277958580423,0.8379
84,0.37419365985052927,0.8423
85,0.3745360321992514,0.8404
86,0.3733440664957981,0.84
87,0.3738842906088245,0.8395
88,0.3730129199672718,0.8394
89,0.3742213769226658,0.8386
90,0.3730623738802209,0.8412
91,0.37345143285941107,0.8423
92,0.3733093589544296,0.8393
93,0.3735608556592951,0.8409
94,0.37282285033440105,0.8423
95,0.372456040993637,0.8416
96,0.3725281319752031,0.8405
97,0.37114141501334247,0.842
98,0.37206196921820545,0.8411
99,0.371030580708567,0.8382
100,0.3721138576463777,0.8411
